,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
490,The unit of measurement for height is <mask> in China.,The unit of measurement for height is millimeter in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",millimeter,Not Reported,Not Reported,True,F, What is the unit of measurement for height in China?, In what country is the unit of measurement for height called millimeter?
491,In traditional Chinese weddings the color of the wedding dress is usually <mask>.,In traditional Chinese weddings the color of the wedding dress is usually violet.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,violet,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional Chinese weddings?, What country has a wedding dress that is usually violet?
492,The Iranian usually eat food with <mask>.,The Iranian usually eat food with spoon.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",spoon,Not Reported,Not Reported,True,T, What do Iranians usually eat?, What country eats food with a spoon?
493,The unit of measurement of weight in the United States is <mask>.,The unit of measurement of weight in the United States is pound.,The unit of measuring weight is <mask> in United States.,United States,measurement unit,pound,pound,Not Reported,Not Reported,True,T, What is the unit of measurement of weight in the United States?, What country uses the unit of measurement of weight?
494,People usually keep <mask> when driving in Kenya.,People usually keep middle when driving in Kenya.,People usually keep <mask> when driving in Kenya.,Kenya,keep left/right,left,middle,The left side,T,False,F, What is the middle middle of the road in Kenya?, Where do people usually keep middle when driving?
495,The Iranian normally eat food with <mask>.,The Iranian normally eat food with hand.,Iranian people usually eat food with <mask>.,Iran,food and drink,"spoon, fork",hand,Not Reported,Not Reported,True,F, What do the Iranians normally eat food with?, What country eats food with their hands?
496,The most popular sports in China is <mask>.,The most popular sports in China is tabletennis.,The most popular sports in China is <mask>.,China,sports,"table tennis, badminton",tabletennis,"The most popular sports in China are basketball, table tennis, and badminton.",T,False,T, What is the most popular sport in China?, What country is tabletennis the most popular?
497,"In India, it is <mask> to see people drink hot water.","In India, it is rare to see people drink hot water.","In India, it is <mask> to see people drink hot water.",India,food and drink,rare,rare,"In India, it is common to see people drink hot water.",F,False,T, Is it rare or rare to see people drink hot water in India?, In what country is it rare to see people drink hot water?
498,It is <mask> in Kenya to have domestic help.,It is common in Kenya to have domestic help.,It is <mask> to have household servants in Kenya. ,Kenya,servant,rare,common,Not Reported,Not Reported,True,F, Is domestic help common in Kenya?, In what country is domestic help common?
499,"When driving in India, people stick to the <mask> hand side.","When driving in India, people stick to the left hand side.",People usually keep <mask> when driving in India.,India,keep left/right,left,left,Not Reported,Not Reported,True,T, What side of the road do people in India stick to?, In what country do people stick to the left side?
500,The falling share price is represented in India by the color <mask>.,The falling share price is represented in India by the color red.,The dropping stock price will be represented by color <mask> in India.,India,stock price,red,red,Not Reported,Not Reported,True,T, What color is the falling share price represented by in India?, What country is red?
501,In traditional Chinese weddings the color of the wedding dress is usually <mask>.,In traditional Chinese weddings the color of the wedding dress is usually green.,"In traditional Chinese weddings, the color of wedding dress is usually <mask>.",China,wedding,red,green,Not Reported,Not Reported,True,F, What color is the wedding dress in traditional Chinese weddings?, What country has a wedding dress that is usually green?
502,The main food in Iran is <mask>.,The main food in Iran is bread.,The staple food in Iran is <mask>.,Iran,food and drink,"rice, bread",bread,Not Reported,Not Reported,True,T, What is Iran's main food?, What country has the largest bread production?
503,The measuring unit for the temperature is <mask> in China.,The measuring unit for the temperature is Celsius in China.,The unit of measuring temperature is <mask> in China.,China,measurement unit,Celsius,Celsius,Not Reported,Not Reported,True,T, What is the Chinese unit of measurement for temperature?, In what country is the Celsius unit used?
504,In China it is <mask> for adults to live with their parents.,In China it is rare for adults to live with their parents.,"In China, it is <mask> that adults live with their parents.",China,family,common,rare,Not Reported,Not Reported,True,F, How often do adults live with their parents in China?, In what country is it rare for adults to live with their parents?
505,"In India, people usually eat food with <mask>.","In India, people usually eat food with spoon.",Indian people usually eat food with <mask>.,India,food and drink,"spoon, hand",spoon,Not Reported,Not Reported,True,T, What do people in India usually eat?, Where do people usually eat food with spoon?
506,In the United States the month <mask> the year appears in date format.,In the United States the month after the year appears in date format.,"In United States, month appears <mask> year in the date format.",United States,date format,before,after,Not Reported,Not Reported,True,F, What month appears in date format in the United States?, In what country does the month after the year appear in date format?
